EmployeeId,LastName,FirstName,Title,BirthDate,HireDate,Address,City,State,Country,PostalCode,Phone,Fax,Email
1,Adams,Andrew,General Manager,1962-02-18 00:00:00,2002-08-14 00:00:00,11120 Jasper Ave NW,Edmonton,AB,Canada,T5K 2N1,+1 (780) 428-9482,+1 (780) 428-3457,andrew@chinookcorp.com
2,Edwards,Nancy,Sales Manager,1958-12-08 00:00:00,2002-05-01 00:00:00,825 8 Ave SW,Calgary,AB,Canada,T2P 2T3,+1 (403) 262-3443,+1 (403) 262-3322,nancy@chinookcorp.com
3,Peacock,Jane,Sales Support Agent,1973-08-29 00:00:00,2002-04-01 00:00:00,1111 6 Ave SW,Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,jane@chinookcorp.com
4,Park,Margaret,Sales Support Agent,1947-09-19 00:00:00,2003-05-03 00:00:00,683 10 Street SW,Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,margaret@chinookcorp.com
5,Johnson,Steve,Sales Support Agent,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,AB,Canada,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com
6,Mitchell,Michael,IT Manager,1973-07-01 00:00:00,2003-10-17 00:00:00,5827 Bowness Road NW,Calgary,AB,Canada,T3B 0C5,+1 (403) 246-9887,+1 (403) 246-9899,michael@chinookcorp.com
7,King,Robert,IT Staff,1970-05-29 00:00:00,2004-01-02 00:00:00,590 Columbia Boulevard West,Lethbridge,AB,Canada,T1K 5N8,+1 (403) 456-9986,+1 (403) 456-8485,robert@chinookcorp.com
8,Callahan,Laura,IT Staff,1968-01-09 00:00:00,2004-03-04 00:00:00,923 7 ST NW,Lethbridge,AB,Canada,T1H 1Y8,+1 (403) 467-3351,+1 (403) 467-8772,laura@chinookcorp.com
AlbumId,Title
69,Djavan Ao Vivo - Vol. 02
70,Djavan Ao Vivo - Vol. 1
71,Elis Regina-Minha História
72,The Cream Of Clapton
73,Unplugged
74,Album Of The Year
75,Angel Dust
76,King For A Day Fool For A Lifetime
77,The Real Thing
78,Deixa Entrar
79,In Your Honor [Disc 1]
80,In Your Honor [Disc 2]
81,One By One
82,The Colour And The Shape
83,My Way: The Best Of Frank Sinatra [Disc 1]
84,Roda De Funk
85,As Canções de Eu Tu Eles
86,Quanta Gente Veio Ver (Live)
87,Quanta Gente Veio ver--Bônus De Carnaval
88,Faceless
89,American Idiot
90,Appetite for Destruction
91,Use Your Illusion I
92,Use Your Illusion II
93,Blue Moods
94,A Matter of Life and Death
95,A Real Dead One
96,A Real Live One
97,Brave New World
98,Dance Of Death
99,Fear Of The Dark
100,Iron Maiden
101,Killers
102,Live After Death
103,Live At Donington 1992 (Disc 1)
104,Live At Donington 1992 (Disc 2)
105,No Prayer For The Dying
106,Piece Of Mind
107,Powerslave
108,Rock In Rio [CD1]
109,Rock In Rio [CD2]
110,Seventh Son of a Seventh Son
111,Somewhere in Time
112,The Number of The Beast
113,The X Factor
114,Virtual XI
115,Sex Machine
116,Emergency On Planet Earth
117,Synkronized
118,The Return Of The Space Cowboy
119,Get Born
120,Are You Experienced?
121,Surfing with the Alien (Remastered)
122,Jorge Ben Jor 25 Anos
123,Jota Quest-1995
124,Cafezinho
125,Living After Midnight
126,Unplugged [Live]
127,BBC Sessions [Disc 2] [Live]
128,Coda
129,Houses Of The Holy
130,In Through The Out Door
131,IV
132,Led Zeppelin I
133,Led Zeppelin II
134,Led Zeppelin III
135,Physical Graffiti [Disc 2]
136,Presence
137,The Song Remains The Same (Disc 1)
138,The Song Remains The Same (Disc 2)
139,A TempestadeTempestade Ou O Livro Dos Dias
140,Mais Do Mesmo
141,Greatest Hits
142,Lulu Santos - RCA 100 Anos De Música - Álbum 01
143,Lulu Santos - RCA 100 Anos De Música - Álbum 02
144,Misplaced Childhood
145,Barulhinho Bom
146,Seek And Shall Find: More Of The Best (1963-1981)
147,The Best Of Men At Work
148,Black Album
149,Garage Inc. (Disc 2)
150,Kill 'Em All
151,Load
152,Master Of Puppets
153,ReLoad
154,Ride The Lightning
155,St. Anger
156,...And Justice For All
157,Miles Ahead
158,Milton Nascimento Ao Vivo
159,Minas
160,Ace Of Spades
161,Demorou...
162,Motley Crue Greatest Hits
163,From The Muddy Banks Of The Wishkah [Live]
164,Nevermind
165,Compositores
166,Olodum
167,Acústico MTV
168,Arquivo II
169,Arquivo Os Paralamas Do Sucesso
170,Bark at the Moon (Remastered)
171,Blizzard of Ozz
172,Diary of a Madman (Remastered)
173,No More Tears (Remastered)
174,Tribute
175,Walking Into Clarksdale
176,Original Soundtracks 1
177,The Beast Live
178,Live On Two Legs [Live]
179,Pearl Jam
180,Riot Act
181,Ten
182,Vs.
183,Dark Side Of The Moon
184,Os Cães Ladram Mas A Caravana Não Pára
185,Greatest Hits I
186,News Of The World
187,Out Of Time
188,Green
189,New Adventures In Hi-Fi
190,The Best Of R.E.M.: The IRS Years
191,Cesta Básica
192,Raul Seixas
193,Blood Sugar Sex Magik
194,By The Way
195,Californication
196,Retrospective I (1974-1980)
197,Santana - As Years Go By
198,Santana Live
199,Maquinarama
200,O Samba Poconé
201,Judas 0: B-Sides and Rarities
202,Rotten Apples: Greatest Hits
203,A-Sides
204,Morning Dance
205,In Step
206,Core
207,Mezmerize
208,[1997] Black Light Syndrome
209,Live [Disc 1]
210,Live [Disc 2]
211,The Singles
212,Beyond Good And Evil
213,Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]
214,The Doors
215,The Police Greatest Hits
216,Hot Rocks, 1964-1971 (Disc 1)
217,No Security
218,Voodoo Lounge
219,Tangents
220,Transmission
221,My Generation - The Very Best Of The Who
222,Serie Sem Limite (Disc 1)
223,Serie Sem Limite (Disc 2)
224,Acústico
225,Volume Dois
226,Battlestar Galactica: The Story So Far
227,Battlestar Galactica, Season 3
228,Heroes, Season 1
229,Lost, Season 3
230,Lost, Season 1
231,Lost, Season 2
232,Achtung Baby
233,All That You Can't Leave Behind
234,B-Sides 1980-1990
235,How To Dismantle An Atomic Bomb
236,Pop
237,Rattle And Hum
238,The Best Of 1980-1990
239,War
240,Zooropa
241,UB40 The Best Of - Volume Two [UK]
242,Diver Down
243,The Best Of Van Halen, Vol. I
244,Van Halen
245,Van Halen III
246,Contraband
247,Vinicius De Moraes
248,Ao Vivo [IMPORT]
249,The Office, Season 1
250,The Office, Season 2
251,The Office, Season 3
252,Un-Led-Ed
253,Battlestar Galactica (Classic), Season 1
254,Aquaman
255,Instant Karma: The Amnesty International Campaign to Save Darfur
256,Speak of the Devil
257,20th Century Masters - The Millennium Collection: The Best of Scorpions
258,House of Pain
259,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro
260,Cake: B-Sides and Rarities
261,LOST, Season 4
262,Quiet Songs
263,Muso Ko
264,Realize
265,Every Kind of Light
266,Duos II
267,Worlds
268,The Best of Beethoven
269,Temple of the Dog
270,Carry On
271,Revelations
272,Adorate Deum: Gregorian Chant from the Proper of the Mass
273,Allegri: Miserere
274,Pachelbel: Canon & Gigue
275,Vivaldi: The Four Seasons
276,Bach: Violin Concertos
277,Bach: Goldberg Variations
278,Bach: The Cello Suites
279,Handel: The Messiah (Highlights)
280,The World of Classical Favourites
281,Sir Neville Marriner: A Celebration
282,Mozart: Wind Concertos
283,Haydn: Symphonies 99 - 104
284,Beethoven: Symhonies Nos. 5 & 6
285,A Soprano Inspired
286,Great Opera Choruses
287,Wagner: Favourite Overtures
288,Fauré: Requiem, Ravel: Pavane & Others
289,Tchaikovsky: The Nutcracker
290,The Last Night of the Proms
291,Puccini: Madama Butterfly - Highlights
292,Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies
293,Pavarotti's Opera Made Easy
294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings
295,Carmina Burana
296,A Copland Celebration, Vol. I
297,Bach: Toccata & Fugue in D Minor
298,Prokofiev: Symphony No.1
299,Scheherazade
300,Bach: The Brandenburg Concertos
301,Chopin: Piano Concertos Nos. 1 & 2
302,Mascagni: Cavalleria Rusticana
303,Sibelius: Finlandia
304,Beethoven Piano Sonatas: Moonlight & Pastorale
305,Great Recordings of the Century - Mahler: Das Lied von der Erde
306,Elgar: Cello Concerto & Vaughan Williams: Fantasias
307,Adams, John: The Chairman Dances
308,Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory
309,Palestrina: Missa Papae Marcelli & Allegri: Miserere
310,Prokofiev: Romeo & Juliet
311,Strauss: Waltzes
312,Berlioz: Symphonie Fantastique
313,Bizet: Carmen Highlights
314,English Renaissance
315,Handel: Music for the Royal Fireworks (Original Version 1749)
316,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande
317,Mozart Gala: Famous Arias
318,SCRIABIN: Vers la flamme
319,Armada: Music from the Courts of England and Spain
320,Mozart: Symphonies Nos. 40 & 41
321,Back to Black
322,Frank
323,Carried to Dust (Bonus Track Version)
324,Beethoven: Symphony No. 6 'Pastoral' Etc.
325,Bartok: Violin & Viola Concertos
326,Mendelssohn: A Midsummer Night's Dream
327,Bach: Orchestral Suites Nos. 1 - 4
328,Charpentier: Divertissements, Airs & Concerts
329,South American Getaway
330,Górecki: Symphony No. 3
331,Purcell: The Fairy Queen
332,The Ultimate Relexation Album
333,Purcell: Music for the Queen Mary
334,Weill: The Seven Deadly Sins
335,J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro
336,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps
337,Szymanowski: Piano Works, Vol. 1
338,Nielsen: The Six Symphonies
339,Great Recordings of the Century: Paganini's 24 Caprices
340,Liszt - 12 Études D'Execution Transcendante
341,Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder
342,Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3
343,Respighi:Pines of Rome
344,Schubert: The Late String Quartets & String Quintet (3 CD's)
345,Monteverdi: L'Orfeo
346,Mozart: Chamber Music
347,Koyaanisqatsi (Soundtrack from the Motion Picture)
ArtistId,Name
1,AC/DC
2,Accept
3,Aerosmith
4,Alanis Morissette
5,Alice In Chains
6,Antônio Carlos Jobim
7,Apocalyptica
8,Audioslave
9,BackBeat
10,Billy Cobham
11,Black Label Society
12,Black Sabbath
13,Body Count
14,Bruce Dickinson
15,Buddy Guy
16,Caetano Veloso
17,Chico Buarque
18,Chico Science & Nação Zumbi
19,Cidade Negra
20,Cláudio Zoli
21,Various Artists
22,Led Zeppelin
23,Frank Zappa & Captain Beefheart
24,Marcos Valle
25,Milton Nascimento & Bebeto
26,Azymuth
27,Gilberto Gil
28,João Gilberto
29,Bebel Gilberto
30,Jorge Vercilo
31,Baby Consuelo
32,Ney Matogrosso
33,Luiz Melodia
34,Nando Reis
35,Pedro Luís & A Parede
36,O Rappa
37,Ed Motta
38,Banda Black Rio
39,Fernanda Porto
40,Os Cariocas
41,Elis Regina
42,Milton Nascimento
43,A Cor Do Som
44,Kid Abelha
45,Sandra De Sá
46,Jorge Ben
47,Hermeto Pascoal
48,Barão Vermelho
49,Edson, DJ Marky & DJ Patife Featuring Fernanda Porto
50,Metallica
51,Queen
52,Kiss
53,Spyro Gyra
54,Green Day
55,David Coverdale
56,Gonzaguinha
57,Os Mutantes
58,Deep Purple
59,Santana
60,Santana Feat. Dave Matthews
61,Santana Feat. Everlast
62,Santana Feat. Rob Thomas
63,Santana Feat. Lauryn Hill & Cee-Lo
64,Santana Feat. The Project G&B
65,Santana Feat. Maná
66,Santana Feat. Eagle-Eye Cherry
67,Santana Feat. Eric Clapton
68,Miles Davis
69,Gene Krupa
70,Toquinho & Vinícius
71,Vinícius De Moraes & Baden Powell
72,Vinícius De Moraes
73,Vinícius E Qurteto Em Cy
74,Vinícius E Odette Lara
75,Vinicius, Toquinho & Quarteto Em Cy
76,Creedence Clearwater Revival
77,Cássia Eller
78,Def Leppard
79,Dennis Chambers
80,Djavan
81,Eric Clapton
82,Faith No More
83,Falamansa
84,Foo Fighters
85,Frank Sinatra
86,Funk Como Le Gusta
87,Godsmack
88,Guns N' Roses
89,Incognito
90,Iron Maiden
91,James Brown
92,Jamiroquai
93,JET
94,Jimi Hendrix
95,Joe Satriani
96,Jota Quest
97,João Suplicy
98,Judas Priest
99,Legião Urbana
100,Lenny Kravitz
101,Lulu Santos
102,Marillion
103,Marisa Monte
104,Marvin Gaye
105,Men At Work
106,Motörhead
107,Motörhead & Girlschool
108,Mônica Marianno
109,Mötley Crüe
110,Nirvana
111,O Terço
112,Olodum
113,Os Paralamas Do Sucesso
114,Ozzy Osbourne
115,Page & Plant
116,Passengers
117,Paul D'Ianno
118,Pearl Jam
119,Peter Tosh
120,Pink Floyd
121,Planet Hemp
122,R.E.M. Feat. Kate Pearson
123,R.E.M. Feat. KRS-One
124,R.E.M.
125,Raimundos
126,Raul Seixas
127,Red Hot Chili Peppers
128,Rush
129,Simply Red
130,Skank
131,Smashing Pumpkins
132,Soundgarden
133,Stevie Ray Vaughan & Double Trouble
134,Stone Temple Pilots
135,System Of A Down
136,Terry Bozzio, Tony Levin & Steve Stevens
137,The Black Crowes
138,The Clash
139,The Cult
140,The Doors
141,The Police
142,The Rolling Stones
143,The Tea Party
144,The Who
145,Tim Maia
146,Titãs
147,Battlestar Galactica
148,Heroes
149,Lost
150,U2
151,UB40
152,Van Halen
153,Velvet Revolver
154,Whitesnake
155,Zeca Pagodinho
156,The Office
157,Dread Zeppelin
158,Battlestar Galactica (Classic)
159,Aquaman
160,Christina Aguilera featuring BigElf
161,Aerosmith & Sierra Leone's Refugee Allstars
162,Los Lonely Boys
163,Corinne Bailey Rae
164,Dhani Harrison & Jakob Dylan
165,Jackson Browne
166,Avril Lavigne
167,Big & Rich
168,Youssou N'Dour
169,Black Eyed Peas
170,Jack Johnson
171,Ben Harper
172,Snow Patrol
173,Matisyahu
174,The Postal Service
175,Jaguares
176,The Flaming Lips
177,Jack's Mannequin & Mick Fleetwood
178,Regina Spektor
179,Scorpions
180,House Of Pain
181,Xis
182,Nega Gizza
183,Gustavo & Andres Veiga & Salazar
184,Rodox
185,Charlie Brown Jr.
186,Pedro Luís E A Parede
187,Los Hermanos
188,Mundo Livre S/A
189,Otto
190,Instituto
191,Nação Zumbi
192,DJ Dolores & Orchestra Santa Massa
193,Seu Jorge
194,Sabotage E Instituto
195,Stereo Maracana
196,Cake
197,Aisha Duo
198,Habib Koité and Bamada
199,Karsh Kale
200,The Posies
201,Luciana Souza/Romero Lubambo
202,Aaron Goldberg
203,Nicolaus Esterhazy Sinfonia
204,Temple of the Dog
205,Chris Cornell
206,Alberto Turco & Nova Schola Gregoriana
207,Richard Marlow & The Choir of Trinity College, Cambridge
208,English Concert & Trevor Pinnock
209,Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker
210,Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer
211,Wilhelm Kempff
212,Yo-Yo Ma
213,Scholars Baroque Ensemble
214,Academy of St. Martin in the Fields & Sir Neville Marriner
215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner
216,Berliner Philharmoniker, Claudio Abbado & Sabine Meyer
217,Royal Philharmonic Orchestra & Sir Thomas Beecham
218,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner
219,Britten Sinfonia, Ivor Bolton & Lesley Garrett
220,Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti
221,Sir Georg Solti & Wiener Philharmoniker
222,Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair
223,London Symphony Orchestra & Sir Charles Mackerras
224,Barry Wordsworth & BBC Concert Orchestra
225,Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker
226,Eugene Ormandy
227,Luciano Pavarotti
228,Leonard Bernstein & New York Philharmonic
229,Boston Symphony Orchestra & Seiji Ozawa
230,Aaron Copland & London Symphony Orchestra
231,Ton Koopman
232,Sergei Prokofiev & Yuri Temirkanov
233,Chicago Symphony Orchestra & Fritz Reiner
234,Orchestra of The Age of Enlightenment
235,Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra
236,James Levine
237,Berliner Philharmoniker & Hans Rosbaud
238,Maurizio Pollini
239,Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett
240,Gustav Mahler
241,Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos
242,Edo de Waart & San Francisco Symphony
243,Antal Doráti & London Symphony Orchestra
244,Choir Of Westminster Abbey & Simon Preston
245,Michael Tilson Thomas & San Francisco Symphony
246,Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker
247,The King's Singers
248,Berliner Philharmoniker & Herbert Von Karajan
249,Sir Georg Solti, Sumi Jo & Wiener Philharmoniker
250,Christopher O'Riley
251,Fretwork
252,Amy Winehouse
253,Calexico
254,Otto Klemperer & Philharmonia Orchestra
255,Yehudi Menuhin
256,Philharmonia Orchestra & Sir Neville Marriner
257,Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart
258,Les Arts Florissants & William Christie
259,The 12 Cellists of The Berlin Philharmonic
260,Adrian Leaper & Doreen de Feis
261,Roger Norrington, London Classical Players
262,Charles Dutoit & L'Orchestre Symphonique de Montréal
263,Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir
264,Kent Nagano and Orchestre de l'Opéra de Lyon
265,Julian Bream
266,Martin Roscoe
267,Göteborgs Symfoniker & Neeme Järvi
268,Itzhak Perlman
269,Michele Campanella
270,Gerald Moore
271,Mela Tenenbaum, Pro Musica Prague & Richard Kapp
272,Emerson String Quartet
273,C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu
274,Nash Ensemble
275,Philip Glass Ensemble
CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email
1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,Av. Brigadeiro Faria Lima, 2170,São José dos Campos,SP,Brazil,12227-000,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br
2,Leonie,Köhler,NULL,Theodor-Heuss-Straße 34,Stuttgart,NULL,Germany,70174,+49 0711 2842222,NULL,leonekohler@surfeu.de
3,François,Tremblay,NULL,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,+1 (514) 721-4711,NULL,ftremblay@gmail.com
4,Bjørn,Hansen,NULL,Ullevålsveien 14,Oslo,NULL,Norway,0171,+47 22 44 22 22,NULL,bjorn.hansen@yahoo.no
5,František,Wichterlová,JetBrains s.r.o.,Klanova 9/506,Prague,NULL,Czech Republic,14700,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com
6,Helena,Holý,NULL,Rilská 3174/6,Prague,NULL,Czech Republic,14300,+420 2 4177 0449,NULL,hholy@gmail.com
7,Astrid,Gruber,NULL,Rotenturmstraße 4, 1010 Innere Stadt,Vienne,NULL,Austria,1010,+43 01 5134505,NULL,astrid.gruber@apple.at
8,Daan,Peeters,NULL,Grétrystraat 63,Brussels,NULL,Belgium,1000,+32 02 219 03 03,NULL,daan_peeters@apple.be
9,Kara,Nielsen,NULL,Sønder Boulevard 51,Copenhagen,NULL,Denmark,1720,+453 3331 9991,NULL,kara.nielsen@jubii.dk
10,Eduardo,Martins,Woodstock Discos,Rua Dr. Falcão Filho, 155,São Paulo,SP,Brazil,01007-010,+55 (11) 3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br
11,Alexandre,Rocha,Banco do Brasil S.A.,Av. Paulista, 2022,São Paulo,SP,Brazil,01310-200,+55 (11) 3055-3278,+55 (11) 3055-8131,alero@uol.com.br
12,Roberto,Almeida,Riotur,Praça Pio X, 119,Rio de Janeiro,RJ,Brazil,20040-020,+55 (21) 2271-7000,+55 (21) 2271-7070,roberto.almeida@riotur.gov.br
13,Fernanda,Ramos,NULL,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,+55 (61) 3363-5547,+55 (61) 3363-7855,fernadaramos4@uol.com.br
14,Mark,Philips,Telus,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca
15,Jennifer,Peterson,Rogers Canada,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,+1 (604) 688-2255,+1 (604) 688-8756,jenniferp@rogers.ca
16,Frank,Harris,Google Inc.,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,+1 (650) 253-0000,+1 (650) 253-0000,fharris@google.com
17,Jack,Smith,Microsoft Corporation,1 Microsoft Way,Redmond,WA,USA,98052-8300,+1 (425) 882-8080,+1 (425) 882-8081,jacksmith@microsoft.com
18,Michelle,Brooks,NULL,627 Broadway,New York,NY,USA,10012-2612,+1 (212) 221-3546,+1 (212) 221-4679,michelleb@aol.com
19,Tim,Goyer,Apple Inc.,1 Infinite Loop,Cupertino,CA,USA,95014,+1 (408) 996-1010,+1 (408) 996-1011,tgoyer@apple.com
20,Dan,Miller,NULL,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,+1 (650) 644-3358,NULL,dmiller@comcast.com
21,Kathy,Chase,NULL,801 W 4th Street,Reno,NV,USA,89503,+1 (775) 223-7665,NULL,kachase@hotmail.com
22,Heather,Leacock,NULL,120 S Orange Ave,Orlando,FL,USA,32801,+1 (407) 999-7788,NULL,hleacock@gmail.com
23,John,Gordon,NULL,69 Salem Street,Boston,MA,USA,2113,+1 (617) 522-1333,NULL,johngordon22@yahoo.com
24,Frank,Ralston,NULL,162 E Superior Street,Chicago,IL,USA,60611,+1 (312) 332-3232,NULL,fralston@gmail.com
25,Victor,Stevens,NULL,319 N. Frances Street,Madison,WI,USA,53703,+1 (608) 257-0597,NULL,vstevens@yahoo.com
26,Richard,Cunningham,NULL,2211 W Berry Street,Fort Worth,TX,USA,76110,+1 (817) 924-7272,NULL,ricunningham@hotmail.com
27,Patrick,Gray,NULL,1033 N Park Ave,Tucson,AZ,USA,85719,+1 (520) 622-4200,NULL,patrick.gray@aol.com
28,Julia,Barnett,NULL,302 S 700 E,Salt Lake City,UT,USA,84102,+1 (801) 531-7272,NULL,jubarnett@gmail.com
29,Robert,Brown,NULL,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,+1 (416) 363-8888,NULL,robbrown@shaw.ca
30,Edward,Francis,NULL,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,+1 (613) 234-3322,NULL,edfrancis@yachoo.ca
31,Martha,Silk,NULL,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,+1 (902) 450-0450,NULL,marthasilk@gmail.com
32,Aaron,Mitchell,NULL,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,+1 (204) 452-6452,NULL,aaronmitchell@yahoo.ca
33,Ellie,Sullivan,NULL,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,+1 (867) 920-2233,NULL,ellie.sullivan@shaw.ca
34,João,Fernandes,NULL,Rua da Assunção 53,Lisbon,NULL,Portugal,NULL,+351 (213) 466-111,NULL,jfernandes@yahoo.pt
35,Madalena,Sampaio,NULL,Rua dos Campeões Europeus de Viena, 4350,Porto,NULL,Portugal,NULL,+351 (225) 022-448,NULL,masampaio@sapo.pt
36,Hannah,Schneider,NULL,Tauentzienstraße 8,Berlin,NULL,Germany,10789,+49 030 26550280,NULL,hannah.schneider@yahoo.de
37,Fynn,Zimmermann,NULL,Berger Straße 10,Frankfurt,NULL,Germany,60316,+49 069 40598889,NULL,fzimmermann@yahoo.de
38,Niklas,Schröder,NULL,Barbarossastraße 19,Berlin,NULL,Germany,10779,+49 030 2141444,NULL,nschroder@surfeu.de
39,Camille,Bernard,NULL,4, Rue Milton,Paris,NULL,France,75009,+33 01 49 70 65 65,NULL,camille.bernard@yahoo.fr
